Date,S33,S33Nm,Index,Constituents
2021-04-30,0050,水産・農林業,100.0,12
2021-04-30,1050,鉱業,100.0,5
2021-04-30,2050,建設業,100.0,130
2021-04-30,3050,食料品,100.0,115
2021-04-30,3100,繊維製品,100.0,45
2021-04-30,3150,パルプ・紙,100.0,22
2021-04-30,3200,化学,100.0,195
2021-04-30,3250,医薬品,100.0,67
2021-04-30,3300,石油･石炭製品,100.0,9
2021-04-30,3350,ゴム製品,100.0,16
2021-04-30,3400,ガラス･土石製品,100.0,47
2021-04-30,3450,鉄鋼,100.0,37
2021-04-30,3500,非鉄金属,100.0,31
2021-04-30,3550,金属製品,100.0,82
2021-04-30,3600,機械,100.0,199
2021-04-30,3650,電気機器,100.0,220
2021-04-30,3700,輸送用機器,100.0,80
2021-04-30,3750,精密機器,100.0,47
2021-04-30,3800,その他製品,100.0,98
2021-04-30,4050,電気･ガス業,100.0,26
2021-04-30,5050,陸運業,100.0,54
2021-04-30,5100,海運業,100.0,11
2021-04-30,5150,空運業,100.0,4
2021-04-30,5200,倉庫･運輸関連業,100.0,28
2021-04-30,5250,情報･通信業,100.0,449
2021-04-30,6050,卸売業,100.0,267
2021-04-30,6100,小売業,100.0,297
2021-04-30,7050,銀行業,100.0,70
2021-04-30,7100,証券･商品先物取引業,100.0,32
2021-04-30,7150,保険業,100.0,12
2021-04-30,7200,その他金融業,100.0,32
2021-04-30,8050,不動産業,100.0,116
2021-04-30,9050,サービス業,100.0,402
2021-05-07,0050,水産・農林業,100.77600833992378,12
2021-05-07,1050,鉱業,103.96825396825398,5
2021-05-07,2050,建設業,101.7658792030022,128
2021-05-07,3050,食料品,101.11974712787773,116
2021-05-07,3100,繊維製品,101.49443886471003,46
2021-05-07,3150,パルプ・紙,103.56142429099016,22
2021-05-07,3200,化学,101.88198103266598,196
2021-05-07,3250,医薬品,100.64285714285714,67
2021-05-07,3300,石油･石炭製品,104.03225806451613,9
2021-05-07,3350,ゴム製品,102.81368821292776,17
2021-05-07,3400,ガラス･土石製品,102.84878487848785,48
2021-05-07,3450,鉄鋼,104.10692722417811,36
2021-05-07,3500,非鉄金属,104.92505353319058,31
2021-05-07,3550,金属製品,101.43857634902412,82
2021-05-07,3600,機械,102.16619199195844,200
2021-05-07,3650,電気機器,101.45362567429837,218
2021-05-07,3700,輸送用機器,102.39952009598082,79
2021-05-07,3750,精密機器,100.69721115537848,47
2021-05-07,3800,その他製品,101.2790450378724,98
2021-05-07,4050,電気･ガス業,102.20440881763525,27
2021-05-07,5050,陸運業,100.82517309910162,52
2021-05-07,5100,海運業,105.9670781893004,11
2021-05-07,5150,空運業,101.2841395109341,4
2021-05-07,5200,倉庫･運輸関連業,100.56925996204933,29
2021-05-07,5250,情報･通信業,100.20641172326566,450
