Date,S33,S33Nm,PER,PBR,PERCount,PBRCount
2021-04-30,0050,水産・農林業,,,0,0
2021-05-07,0050,水産・農林業,,,1,1
2021-05-14,0050,水産・農林業,14.436472674166144,1.066945092506422,8,8
2021-05-21,0050,水産・農林業,14.447440159858765,1.0444752015143655,8,8
2021-05-28,0050,水産・農林業,14.178925609233497,1.0356651627633962,8,8
2021-06-04,0050,水産・農林業,14.288379548644137,1.0592268633034334,8,8
2021-06-11,0050,水産・農林業,15.078397212543555,1.0628509613457193,9,8
2021-06-18,0050,水産・農林業,14.80836236933798,1.0465020913561127,9,8
2021-06-25,0050,水産・農林業,14.738675958188153,1.0511067617566645,9,8
2021-07-02,0050,水産・農林業,14.599303135888501,1.0628231520482907,9,8
2021-07-09,0050,水産・農林業,14.468641114982578,1.0353568448422599,9,8
2021-07-16,0050,水産・農林業,15.250821932336407,1.0792731326972538,11,10
2021-07-21,0050,水産・農林業,15.11294941139039,1.0768115752712306,11,10
2021-07-30,0050,水産・農林業,15.123554989924699,1.0787651637510502,11,10
2021-08-06,0050,水産・農林業,15.409905610351043,1.101209815739324,11,10
2021-08-13,0050,水産・農林業,13.106567918955037,1.0696855161278485,12,11
2021-08-20,0050,水産・農林業,12.6981946724081,1.0660159260210635,12,11
2021-08-27,0050,水産・農林業,13.169013397396842,1.095372646875344,12,11
2021-09-03,0050,水産・農林業,13.566634107313604,1.1449121133169424,12,11
2021-09-10,0050,水産・農林業,13.771555664929927,1.1503339397920216,12,11
2021-09-17,0050,水産・農林業,13.622247000094678,1.1596342647221238,12,11
2021-09-24,0050,水産・農林業,13.812033517703831,1.1544028319489412,12,11
2021-10-01,0050,水産・農林業,13.188966390508424,1.129989479007423,12,11
2021-10-08,0050,水産・農林業,13.075099900478959,1.142196155478182,12,11
2021-10-15,0050,水産・農林業,13.396419338448874,1.1392898039375252,12,11
2021-10-22,0050,水産・農林業,12.935128108948438,1.129989479007423,12,11
2021-10-29,0050,水産・農林業,12.929738289293285,1.1433586960944448,12,11
2021-11-05,0050,水産・農林業,12.221392280409034,1.1369647227049995,12,11
2021-11-12,0050,水産・農林業,11.694584920666811,1.1410336148619193,12,11
2021-11-19,0050,水産・農林業,11.223575800714467,1.0843638765549888,12,11
2021-11-26,0050,水産・農林業,10.885559873485295,1.0733551062346336,12,11
2021-12-03,0050,水産・農林業,10.733120849095052,1.0733551062346336,12,11
2021-12-10,0050,水産・農林業,10.213637865373713,1.0241053661824853,12,11
2021-12-17,0050,水産・農林業,10.105194526880547,1.0720887825269179,12,12
2021-12-24,0050,水産・農林業,9.913176605877613,1.0539200013108925,12,12
2021-12-30,0050,水産・農林業,10.178856048386326,1.07954791611419,12,12
2022-01-07,0050,水産・農林業,10.266847420180486,1.0831589290041725,12,12
2022-01-14,0050,水産・農林業,10.260725303769865,1.0799797847583692,12,12
2022-01-21,0050,水産・農林業,10.07426504307406,1.0682228193807086,12,12
2022-01-28,0050,水産・農林業,10.001989946941126,1.0748457324036225,12,12
2022-02-04,0050,水産・農林業,12.423517650458866,1.0446341757241395,12,12
2022-02-10,0050,水産・農林業,12.7685071104838,1.0504543437035934,12,12
2022-02-18,0050,水産・農林業,12.72240291500201,1.05332368774323,12,12
2022-02-25,0050,水産・農林業,12.22119156529251,1.0479468209534022,12,12
2022-03-04,0050,水産・農林業,12.443707249373343,1.058187240880225,12,12
2022-03-11,0050,水産・農林業,9.301521438450898,1.0567533141482286,11,11
2022-03-18,0050,水産・農林業,9.76832641770401,1.0661457293705014,11,12
2022-03-25,0050,水産・農林業,9.993084370677732,1.0727853736761852,11,12
2022-04-01,0050,水産・農林業,9.491701244813278,1.0713711037969418,11,12
2022-04-08,0050,水産・農林業,9.54356846473029,1.0787347987342046,11,12
2022-04-15,0050,水産・農林業,12.47128666083766,1.0956739161202056,10,11
2022-04-22,0050,水産・農林業,9.820193637621022,1.0985592144970333,11,12
2022-04-28,0050,水産・農林業,9.923928077455049,1.1044981489984704,11,12
2022-05-06,0050,水産・農林業,9.993084370677732,1.096367950451863,11,12
2022-05-13,0050,水産・農林業,13.089288126435228,1.0446684899585048,11,12
2022-05-20,0050,水産・農林業,11.684452249088208,1.0565675132076229,11,12
2022-05-27,0050,水産・農林業,11.09009860867216,1.067844678185336,11,12
2022-06-03,0050,水産・農林業,15.278597860801169,1.0986446808096915,10,11
2022-06-10,0050,水産・農林業,12.008645143860598,1.0789648379704377,11,12
2022-06-17,0050,水産・農林業,15.015133629484204,1.0627382636047211,12,12
2022-06-24,0050,水産・農林業,15.069117858350937,1.0867246617731523,12,12
2022-07-01,0050,水産・農林業,14.719732832838272,1.0786526641403953,12,12
2022-07-08,0050,水産・農林業,12.751587194380656,1.0386891451312865,11,11
2022-07-15,0050,水産・農林業,14.040716726452239,1.0716504215285398,12,12
2022-07-22,0050,水産・農林業,12.873159529920303,1.0649378257792295,11,12
2022-07-29,0050,水産・農林業,12.873159529920303,1.0721709846075949,11,12
2022-08-05,0050,水産・農林業,14.086150009255507,1.0769187893327565,12,12
2022-08-12,0050,水産・農林業,16.405322553136614,1.0398193606031243,12,12
2022-08-19,0050,水産・農林業,15.064814814814815,1.0376404164835868,11,12
2022-08-26,0050,水産・農林業,16.82484416240804,1.031578597625718,11,12
2022-09-02,0050,水産・農林業,14.731481481481481,1.0132953554464526,11,12
2022-09-09,0050,水産・農林業,14.764634358172659,1.0135338003878505,11,12
2022-09-16,0050,水産・農林業,15.842366808880467,1.0036089644322796,12,12
2022-09-22,0050,水産・農林業,15.354224514287974,1.0091759121487756,12,12
2022-09-30,0050,水産・農林業,14.999263710276235,1.0045415623480527,12,12
2022-10-07,0050,水産・農林業,15.120018084856351,1.007488503000745,12,12
2022-10-14,0050,水産・農林業,15.075903039828773,1.0190129893507631,12,12
2022-10-21,0050,水産・農林業,15.246574098290342,1.009478744312218,12,12
2022-10-28,0050,水産・農林業,14.277995407267325,0.9093817463656219,11,11
2022-11-04,0050,水産・農林業,15.18905172174906,1.0078286218905306,12,12
2022-11-11,0050,水産・農林業,13.725978832405282,1.0104486289543342,12,12
2022-11-18,0050,水産・農林業,13.40974192144326,1.0064308596050449,12,12
2022-11-25,0050,水産・農林業,13.702009570694564,1.0318847659590262,12,12
2022-12-02,0050,水産・農林業,13.204235269985642,1.0027663944464384,12,12
2022-12-09,0050,水産・農林業,13.320196141704315,1.0026654503919574,12,12
2022-12-16,0050,水産・農林業,13.368015844427434,1.0046184049770874,12,12
2022-12-23,0050,水産・農林業,13.349878177515622,1.0067973490966249,12,12
2022-12-30,0050,水産・農林業,13.25925925925926,0.9572439435427599,11,11
2023-01-06,0050,水産・農林業,13.42493408578104,1.0081578246557672,12,12
2023-01-13,0050,水産・農林業,13.416055678128487,1.0063189994260153,12,12
2023-01-20,0050,水産・農林業,13.607233178741351,1.0172510067500458,12,12
2023-01-27,0050,水産・農林業,14.159361069836553,1.0201101886491544,12,12
2023-02-03,0050,水産・農林業,14.46649944216809,1.0046688770043277,12,12
2023-02-10,0050,水産・農林業,14.87962962962963,0.9954747508555684,11,12
2023-02-17,0050,水産・農林業,15.203703703703704,0.9987990971243894,11,12
2023-02-24,0050,水産・農林業,15.398148148148149,1.003534390979593,11,12
2023-03-03,0050,水産・農林業,15.324074074074074,1.0037362790885547,11,12
2023-03-10,0050,水産・農林業,15.518518518518519,1.004302387512748,11,12
2023-03-17,0050,水産・農林業,14.86111111111111,0.9848299587887126,11,12
2023-03-24,0050,水産・農林業,15.277777777777779,0.9949585745273195,11,12
2023-03-31,0050,水産・農林業,15.37962962962963,0.9825082716631139,11,12
2023-04-07,0050,水産・農林業,14.731481481481481,0.980814904777236,11,12
2023-04-14,0050,水産・農林業,14.99074074074074,0.9929175098137916,11,12
2023-04-21,0050,水産・農林業,14.824074074074074,1.010140217572137,11,12
2023-04-28,0050,水産・農林業,14.787037037037036,1.0277996517369188,11,12
2023-05-02,0050,水産・農林業,14.898148148148149,1.0259637175323868,11,12
2023-05-12,0050,水産・農林業,16.32601671419271,1.0484218619810344,12,12
2023-05-19,0050,水産・農林業,16.01447672471708,1.033613875338745,12,12
2023-05-26,0050,水産・農林業,15.42440628841342,1.024386482953294,12,12
2023-06-02,0050,水産・農林業,15.487301082179501,1.0384692960474986,12,12
2023-06-09,0050,水産・農林業,15.51985902339696,1.0497797053484306,12,12
2023-06-16,0050,水産・農林業,15.678922302714913,1.04930759972807,12,12
2023-06-23,0050,水産・農林業,15.763309372718593,1.0529893063093732,12,12
2023-06-30,0050,水産・農林業,15.267299948626112,1.0331182900805613,12,12
2023-07-07,0050,水産・農林業,14.951732464761049,1.0277869479724437,12,12
2023-07-14,0050,水産・農林業,13.952260987387012,1.051559947567271,12,12
2023-07-21,0050,水産・農林業,11.394504106127606,0.9650935813526237,11,11
2023-07-28,0050,水産・農林業,14.114762648969982,1.056006507743828,12,12
2023-08-04,0050,水産・農林業,13.926560994897173,1.0842818550856583,12,12
2023-08-10,0050,水産・農林業,14.117715302064521,1.1355851364879896,12,12
2023-08-18,0050,水産・農林業,13.90560970379046,1.10835907382553,12,12
2023-08-25,0050,水産・農林業,13.776951952071574,1.1150992489495706,12,12
2023-09-01,0050,水産・農林業,14.48939925657644,1.1260292019744549,12,12
2023-09-08,0050,水産・農林業,18.779103437816858,1.1188951589515255,12,12
2023-09-15,0050,水産・農林業,17.23141295417721,1.1289393767236733,12,12
2023-09-22,0050,水産・農林業,15.730678823689505,1.096825678305906,12,12
2023-09-29,0050,水産・農林業,16.10802342747632,1.0905103723006242,12,12
2023-10-06,0050,水産・農林業,15.553045523917344,1.0779486651675014,12,12
2023-10-13,0050,水産・農林業,15.039064242613836,1.066187811139151,12,12
2023-10-20,0050,水産・農林業,14.255350294645844,1.0531068195275455,12,12
2023-10-27,0050,水産・農林業,14.172063423385111,1.0773793130456286,12,12
2023-11-02,0050,水産・農林業,14.216211891997268,1.091614262039796,12,12
2023-11-10,0050,水産・農林業,13.902805589187079,1.075127185850951,12,12
2023-11-17,0050,水産・農林業,14.714127320022904,1.0456122748468877,12,12
2023-11-24,0050,水産・農林業,15.308804449151129,1.067473134217832,12,12
2023-12-01,0050,水産・農林業,14.817200253711693,1.0739810842272661,12,12
2023-12-08,0050,水産・農林業,14.687947804490825,1.0864521892853687,12,12
2023-12-15,0050,水産・農林業,15.843087735608055,1.082312479027915,12,12
2023-12-22,0050,水産・農林業,15.502724233241342,1.0851802127031516,12,12
2023-12-29,0050,水産・農林業,15.302885828513556,1.084078229606332,12,12
2024-01-05,0050,水産・農林業,15.408549785638364,1.096870255211709,12,12
2024-01-12,0050,水産・農林業,15.15065059031262,1.1133270543123908,12,12
2024-01-19,0050,水産・農林業,15.097644745873561,1.1156452264209813,12,12
2024-01-26,0050,水産・農林業,15.935961016588415,1.115427071934546,12,12
2024-02-02,0050,水産・農林業,15.541036301733747,1.1249456655620538,12,12
2024-02-09,0050,水産・農林業,18.10502002495832,1.1192964267240497,12,12
2024-02-16,0050,水産・農林業,14.586921627837748,1.1287430038554436,12,12
2024-02-22,0050,水産・農林業,14.628632432922494,1.1634648106124978,12,12
2024-03-01,0050,水産・農林業,14.73470045731635,1.149117002067884,12,12
2024-03-08,0050,水産・農林業,14.766887581345367,1.1543861978543806,12,12
2024-03-15,0050,水産・農林業,14.8398517921799,1.1714395302507847,12,12
2024-03-22,0050,水産・農林業,15.136360198165262,1.1908815388518028,12,12
2024-03-29,0050,水産・農林業,15.131233466497655,1.180457749617748,12,12
2024-04-05,0050,水産・農林業,15.050358397906747,1.1675486547532334,12,12
2024-04-12,0050,水産・農林業,15.275481358859068,1.1534210644299505,12,12
2024-04-19,0050,水産・農林業,15.213382010371564,1.1264989815810913,12,12
2024-04-26,0050,水産・農林業,15.065025839379011,1.1488304962205382,12,12
2024-05-02,0050,水産・農林業,15.601953075549705,1.1553302661440337,12,12
2024-05-10,0050,水産・農林業,15.385657661884064,1.1096266816293792,12,12
2024-05-17,0050,水産・農林業,14.887497910997183,1.1023255345354726,12,12
2024-05-24,0050,水産・農林業,14.865480037664712,1.089339258351252,12,12
2024-05-31,0050,水産・農林業,14.610099029334574,1.0701518678707884,12,12
2024-06-07,0050,水産・農林業,14.400387984837671,1.0772209523320038,12,12
2024-06-14,0050,水産・農林業,14.463565809026743,1.0695625415716514,12,12
2024-06-21,0050,水産・農林業,11.086544535691724,1.0513907945615566,11,11
2024-06-28,0050,水産・農林業,14.033162384663438,1.0878209614529948,12,12
2024-07-05,0050,水産・農林業,14.097657922752205,1.0553738050273713,12,12
2024-07-12,0050,水産・農林業,18.01877378321607,1.0206614551174957,12,12
2024-07-19,0050,水産・農林業,18.03000532137522,1.0226867188357642,12,12
2024-07-26,0050,水産・農林業,17.47604543894709,1.007244555616114,12,12
2024-08-02,0050,水産・農林業,17.293751646115386,0.9758411614165281,12,12
2024-08-09,0050,水産・農林業,17.190650078153503,0.9843588880129621,12,12
2024-08-16,0050,水産・農林業,17.30735366430533,1.0050173282861736,12,12
2024-08-23,0050,水産・農林業,17.241645872458363,1.0140342612444098,12,12
2024-08-30,0050,水産・農林業,17.385301856576213,1.014487972255127,12,12
2024-09-06,0050,水産・農林業,17.260510904226614,0.9885155632207906,12,12
2024-09-13,0050,水産・農林業,17.116182345265585,0.9749652718897497,12,12
2024-09-20,0050,水産・農林業,15.842084573482339,0.9367989415815468,11,11
2024-09-27,0050,水産・農林業,17.608208730045355,1.0138529614945604,12,12
2024-10-04,0050,水産・農林業,15.763463806368282,0.9970608618002427,11,11
2024-10-11,0050,水産・農林業,17.443569106373168,1.031357964421758,12,12
2024-10-18,0050,水産・農林業,16.922334768517132,1.0288310817725823,12,12
2024-10-25,0050,水産・農林業,16.405441694686914,0.9991350446793121,12,12
2024-11-01,0050,水産・農林業,16.739573332552457,1.0005337537007422,12,12
2024-11-08,0050,水産・農林業,14.685236143089798,0.9518644216362206,11,11
2024-11-15,0050,水産・農林業,12.994350282485875,0.9367989415815468,9,11
2024-11-22,0050,水産・農林業,13.885228591942672,0.9629301692823419,10,12
2024-11-29,0050,水産・農林業,13.768264072710144,0.9700862261447026,10,12
2024-12-06,0050,水産・農林業,13.83352438581624,0.9778312617146229,10,12
2024-12-13,0050,水産・農林業,14.78070421744258,0.9815051059861835,11,12
2024-12-20,0050,水産・農林業,14.747009602965127,0.9842818601672212,11,12
2024-12-27,0050,水産・農林業,14.71893075756725,0.9989227491367288,11,12
2024-12-30,0050,水産・農林業,14.842477677317909,0.9959233674821966,11,12
2025-01-10,0050,水産・農林業,15.196271129331162,0.9888631264602161,11,12
2025-01-17,0050,水産・農林業,14.657157297691919,1.016119640680963,11,12
2025-01-24,0050,水産・農林業,14.97725613522772,1.0146730237393426,11,12
2025-01-31,0050,水産・農林業,15.128881900376257,1.030943705267503,11,12
2025-02-07,0050,水産・農林業,15.0502611332622,1.0146848530167694,11,12
2025-02-14,0050,水産・農林業,15.112034593137532,1.0318060049626445,11,12
2025-02-21,0050,水産・農林業,15.381591508957152,1.0157029678616316,11,12
2025-02-28,0050,水産・農林業,15.566911888583142,1.0268114579309384,11,12
2025-03-07,0050,水産・農林業,15.499522659628237,1.0394726978516255,11,12
2025-03-14,0050,水産・農林業,15.583759195821868,1.050594086869221,11,12
2025-03-21,0050,水産・農林業,15.641622340425533,1.0718813481600529,11,12
2025-03-28,0050,水産・農林業,15.649933510638299,1.0388664079159462,11,12
2025-04-04,0050,水産・農林業,14.92686170212766,0.964741261590844,11,12
2025-04-11,0050,水産・農林業,15.392287234042554,1.0403362222222095,11,12
