Date,S17,S17Nm,Index,Constituents
2021-04-30,1,食品,100.0,127
2021-04-30,10,情報通信・サービスその他,100.0,949
2021-04-30,11,電気・ガス,100.0,26
2021-04-30,12,運輸・物流,100.0,97
2021-04-30,13,商社・卸売,100.0,267
2021-04-30,14,小売,100.0,297
2021-04-30,15,銀行,100.0,70
2021-04-30,16,金融（除く銀行）,100.0,76
2021-04-30,17,不動産,100.0,116
2021-04-30,2,エネルギー資源,100.0,14
2021-04-30,3,建設・資材,100.0,259
2021-04-30,4,素材・化学,100.0,262
2021-04-30,5,医薬品,100.0,67
2021-04-30,6,自動車・輸送機,100.0,96
2021-04-30,7,鉄鋼・非鉄,100.0,68
2021-04-30,8,機械,100.0,199
2021-04-30,9,電機・精密,100.0,267
2021-05-07,1,食品,101.11974712787773,128
2021-05-07,10,情報通信・サービスその他,100.60975609756098,951
2021-05-07,11,電気・ガス,102.20440881763525,27
2021-05-07,12,運輸・物流,101.13192744193597,96
2021-05-07,13,商社・卸売,101.43769968051117,263
2021-05-07,14,小売,101.239829275291,296
2021-05-07,15,銀行,103.17781176123768,70
2021-05-07,16,金融（除く銀行）,102.34162802933152,76
2021-05-07,17,不動産,101.86688311688312,115
2021-05-07,2,エネルギー資源,104.00025601638505,14
2021-05-07,3,建設・資材,101.7658792030022,258
2021-05-07,4,素材・化学,101.80192811309585,264
2021-05-07,5,医薬品,100.64285714285714,67
2021-05-07,6,自動車・輸送機,102.48212749558596,96
2021-05-07,7,鉄鋼・非鉄,104.28313796212805,67
2021-05-07,8,機械,102.16619199195844,200
2021-05-07,9,電機・精密,101.40350877192984,265
2021-05-14,1,食品,100.41225743403601,128
2021-05-14,10,情報通信・サービスその他,97.45508982035929,945
2021-05-14,11,電気・ガス,99.67652495378928,27
2021-05-14,12,運輸・物流,99.37952430196484,97
2021-05-14,13,商社・卸売,99.65729952021934,263
2021-05-14,14,小売,99.66925276273835,296
2021-05-14,15,銀行,101.5881708652793,69
2021-05-14,16,金融（除く銀行）,99.02949198438083,76
2021-05-14,17,不動産,99.31553441723449,114
2021-05-14,2,エネルギー資源,102.48850192433045,14
2021-05-14,3,建設・資材,99.32885906040269,255
2021-05-14,4,素材・化学,99.64230965763925,259
2021-05-14,5,医薬品,96.68008048289738,67
2021-05-14,6,自動車・輸送機,99.95836802664446,94
2021-05-14,7,鉄鋼・非鉄,100.55291315290651,68
2021-05-14,8,機械,98.7991266375546,199
2021-05-14,9,電機・精密,97.92216992961396,264
2021-05-21,1,食品,100.0,125
2021-05-21,10,情報通信・サービスその他,99.30586146137327,946
2021-05-21,11,電気・ガス,98.63481228668942,27
2021-05-21,12,運輸・物流,99.08576344309513,96
2021-05-21,13,商社・卸売,100.13831258644537,263
2021-05-21,14,小売,100.08882185352775,298
2021-05-21,15,銀行,101.56009965655599,70
2021-05-21,16,金融（除く銀行）,101.10344827586206,77
2021-05-21,17,不動産,100.66126693936368,116
2021-05-21,2,エネルギー資源,100.13118312953202,14
2021-05-21,3,建設・資材,99.5973154362416,251
2021-05-21,4,素材・化学,100.08291873963515,260
2021-05-21,5,医薬品,98.6086336068498,67
2021-05-21,6,自動車・輸送機,101.3410749152194,94
2021-05-21,7,鉄鋼・非鉄,98.68421052631578,67
2021-05-21,8,機械,99.25301352008731,198
2021-05-21,9,電機・精密,98.83720930232558,265
2021-05-28,1,食品,99.63223002340355,127
2021-05-28,10,情報通信・サービスその他,99.1638795986622,939
2021-05-28,11,電気・ガス,98.48621780388612,27
2021-05-28,12,運輸・物流,99.74457215836526,93
2021-05-28,13,商社・卸売,100.66138850324748,262
2021-05-28,14,小売,100.30706243602864,297
2021-05-28,15,銀行,100.48872966114347,70
2021-05-28,16,金融（除く銀行）,101.68949213336593,76
2021-05-28,17,不動産,100.88673481088341,114
2021-05-28,2,エネルギー資源,99.96178830722201,14
2021-05-28,3,建設・資材,99.79508196721312,255
2021-05-28,4,素材・化学,100.6902994757876,263
2021-05-28,5,医薬品,98.27586206896551,67
2021-05-28,6,自動車・輸送機,101.98863636363636,97
2021-05-28,7,鉄鋼・非鉄,100.60142154182614,67
2021-05-28,8,機械,99.63985594237695,201
2021-05-28,9,電機・精密,100.0,265
2021-06-04,1,食品,99.87421383647799,127
2021-06-04,10,情報通信・サービスその他,99.10650801712254,944
2021-06-04,11,電気・ガス,96.9639468690702,27
2021-06-04,12,運輸・物流,101.1204481792717,93
2021-06-04,13,商社・卸売,100.84565843093671,266
2021-06-04,14,小売,101.39970738705489,296
2021-06-04,15,銀行,100.43158329162387,70
2021-06-04,16,金融（除く銀行）,101.60811207275925,76
2021-06-04,17,不動産,101.95294626061315,116
2021-06-04,2,エネルギー資源,102.7377305632319,14
2021-06-04,3,建設・資材,100.42091148232628,256
2021-06-04,4,素材・化学,101.41489407450554,260
2021-06-04,5,医薬品,98.7891019172553,67
2021-06-04,6,自動車・輸送機,105.87997820250636,96
2021-06-04,7,鉄鋼・非鉄,100.60492427652528,68
2021-06-04,8,機械,100.64829821717991,199
2021-06-04,9,電機・精密,100.90752956005795,264
2021-06-11,1,食品,99.92260061919505,127
2021-06-11,10,情報通信・サービスその他,100.39370078740157,949
2021-06-11,11,電気・ガス,99.2,27
2021-06-11,12,運輸・物流,102.95798319327729,92
2021-06-11,13,商社・卸売,101.42857142857142,267
2021-06-11,14,小売,102.34375,297
2021-06-11,15,銀行,97.89915966386555,69
2021-06-11,16,金融（除く銀行）,100.37929443779151,76
2021-06-11,17,不動産,103.24026665574375,116
2021-06-11,2,エネルギー資源,102.31208889883474,14
2021-06-11,3,建設・資材,100.2824858757062,255
2021-06-11,4,素材・化学,101.22199592668024,261
2021-06-11,5,医薬品,102.46164823403497,67
2021-06-11,6,自動車・輸送機,104.44450014607271,96
2021-06-11,7,鉄鋼・非鉄,99.49281487743026,67
2021-06-11,8,機械,100.0,198
2021-06-11,9,電機・精密,100.90759075907592,263
2021-06-18,1,食品,99.96143463170074,128
2021-06-18,10,情報通信・サービスその他,99.90019154855501,952
2021-06-18,11,電気・ガス,99.26548672566372,27
2021-06-18,12,運輸・物流,101.55916195239791,94
2021-06-18,13,商社・卸売,101.33420410153182,266
2021-06-18,14,小売,101.60818713450293,299
2021-06-18,15,銀行,98.02032988108937,70
2021-06-18,16,金融（除く銀行）,100.9314950634203,76
2021-06-18,17,不動産,101.98717948717947,116
2021-06-18,2,エネルギー資源,100.47184134458024,14
2021-06-18,3,建設・資材,99.88864142538975,259
2021-06-18,4,素材・化学,100.51546391752578,261
2021-06-18,5,医薬品,101.72413793103448,67
2021-06-18,6,自動車・輸送機,102.84249003784463,98
2021-06-18,7,鉄鋼・非鉄,97.58674697706556,68
2021-06-18,8,機械,98.94259818731118,203
2021-06-18,9,電機・精密,100.97859327217125,263
2021-06-25,1,食品,100.29999999999998,125
2021-06-25,10,情報通信・サービスその他,100.06497725795971,961
2021-06-25,11,電気・ガス,98.26589595375722,27
2021-06-25,12,運輸・物流,102.33975615935364,96
2021-06-25,13,商社・卸売,101.934650997151,264
2021-06-25,14,小売,101.98581133933484,300
2021-06-25,15,銀行,98.47281888949901,70
2021-06-25,16,金融（除く銀行）,99.63898916967509,77
2021-06-25,17,不動産,101.51976428431455,116
2021-06-25,2,エネルギー資源,102.0163024249517,14
2021-06-25,3,建設・資材,100.0,257
2021-06-25,4,素材・化学,100.75528700906344,263
2021-06-25,5,医薬品,102.62137478789333,68
2021-06-25,6,自動車・輸送機,103.59550561797752,97
2021-06-25,7,鉄鋼・非鉄,98.68780754510662,67
2021-06-25,8,機械,99.39577039274926,199
2021-06-25,9,電機・精密,101.33115252089505,266
2021-07-02,1,食品,100.0,127
2021-07-02,10,情報通信・サービスその他,100.30337807127361,958
2021-07-02,11,電気・ガス,97.6280834914611,27
2021-07-02,12,運輸・物流,102.3041474654378,97
2021-07-02,13,商社・卸売,102.42146093781608,264
2021-07-02,14,小売,101.6231624090225,298
2021-07-02,15,銀行,98.79940569383646,70
2021-07-02,16,金融（除く銀行）,100.49741383477546,78
2021-07-02,17,不動産,101.99173101247901,116
2021-07-02,2,エネルギー資源,100.40791896869246,14
2021-07-02,3,建設・資材,99.95515695067265,255
2021-07-02,4,素材・化学,100.57915057915059,265
2021-07-02,5,医薬品,100.92153870864118,68
2021-07-02,6,自動車・輸送機,103.23624595469256,99
2021-07-02,7,鉄鋼・非鉄,99.01800390782495,68
2021-07-02,8,機械,98.93097071256038,202
2021-07-02,9,電機・精密,100.73170731707317,263
2021-07-09,1,食品,99.348566557114,128
2021-07-09,10,情報通信・サービスその他,98.9655172413793,963
2021-07-09,11,電気・ガス,96.77037901869855,26
2021-07-09,12,運輸・物流,100.1851851851852,96
2021-07-09,13,商社・卸売,100.5086469989827,267
2021-07-09,14,小売,100.41518386714117,299
2021-07-09,15,銀行,96.02308665401645,70
2021-07-09,16,金融（除く銀行）,97.38052552686699,78
2021-07-09,17,不動産,100.20714737507905,116
2021-07-09,2,エネルギー資源,98.58001635512352,14
2021-07-09,3,建設・資材,99.06021541907315,254
2021-07-09,4,素材・化学,98.37862134772891,262
2021-07-09,5,医薬品,98.91590627423412,68
2021-07-09,6,自動車・輸送機,101.68374893782193,96
2021-07-09,7,鉄鋼・非鉄,94.91437222064528,68
2021-07-09,8,機械,98.70004932173119,200
2021-07-09,9,電機・精密,99.26605504587155,265
2021-07-16,1,食品,100.36862359495564,126
2021-07-16,10,情報通信・サービスその他,99.4236156000862,960
2021-07-16,11,電気・ガス,98.34368530020704,27
2021-07-16,12,運輸・物流,101.31490376081969,92
2021-07-16,13,商社・卸売,102.33184433027634,262
2021-07-16,14,小売,101.17340286831814,299
2021-07-16,15,銀行,96.90332987671391,70
2021-07-16,16,金融（除く銀行）,99.71771873655723,78
2021-07-16,17,不動産,101.53511460911815,114
2021-07-16,2,エネルギー資源,102.26423385555981,14
2021-07-16,3,建設・資材,100.0,255
2021-07-16,4,素材・化学,100.0,262
2021-07-16,5,医薬品,99.0803853086976,68
2021-07-16,6,自動車・輸送機,103.26086956521738,97
2021-07-16,7,鉄鋼・非鉄,96.24073160368954,66
2021-07-16,8,機械,99.54102920723228,201
2021-07-16,9,電機・精密,100.82014899198333,266
2021-07-21,1,食品,100.53169734151331,125
2021-07-21,10,情報通信・サービスその他,98.03459119496856,963
2021-07-21,11,電気・ガス,96.81146025878003,27
2021-07-21,12,運輸・物流,99.69183359013869,97
2021-07-21,13,商社・卸売,101.10344827586206,267
2021-07-21,14,小売,100.27044104965208,300
2021-07-21,15,銀行,96.39632597224937,70
2021-07-21,16,金融（除く銀行）,98.45500420521446,78
2021-07-21,17,不動産,100.39613120923036,114
2021-07-21,2,エネルギー資源,99.25548665612857,14
2021-07-21,3,建設・資材,99.76151597728084,256
2021-07-21,4,素材・化学,98.67330016583747,263
2021-07-21,5,医薬品,96.55004520273908,68
2021-07-21,6,自動車・輸送機,102.31923601637108,99
2021-07-21,7,鉄鋼・非鉄,95.56313993174061,67
2021-07-21,8,機械,97.71784232365145,201
2021-07-21,9,電機・精密,99.08700322234156,265
2021-07-30,1,食品,100.14771048744461,125
2021-07-30,10,情報通信・サービスその他,96.70300685774575,964
2021-07-30,11,電気・ガス,95.70240295748613,27
2021-07-30,12,運輸・物流,100.1,93
2021-07-30,13,商社・卸売,101.42857142857142,265
2021-07-30,14,小売,100.15700360623427,298
2021-07-30,15,銀行,96.87194459532863,70
2021-07-30,16,金融（除く銀行）,98.57110542726028,78
2021-07-30,17,不動産,99.90240179266911,116
2021-07-30,2,エネルギー資源,100.1784486052732,14
2021-07-30,3,建設・資材,99.43502824858757,259
2021-07-30,4,素材・化学,99.09683995922529,260
2021-07-30,5,医薬品,95.92070207228028,68
2021-07-30,6,自動車・輸送機,102.87162162162163,97
2021-07-30,7,鉄鋼・非鉄,97.04931001798656,68
2021-07-30,8,機械,97.68941066567754,198
2021-07-30,9,電機・精密,99.12959381044487,263
2021-08-06,1,食品,99.78708303761533,125
2021-08-06,10,情報通信・サービスその他,95.34206695778748,965
2021-08-06,11,電気・ガス,96.07072691552064,27
2021-08-06,12,運輸・物流,100.2304147465438,97
2021-08-06,13,商社・卸売,100.7843137254902,261
2021-08-06,14,小売,99.31683571010956,296
2021-08-06,15,銀行,98.23667813881733,70
2021-08-06,16,金融（除く銀行）,97.41205922323152,78
2021-08-06,17,不動産,99.93674889310563,116
2021-08-06,2,エネルギー資源,100.27187922678942,14
2021-08-06,3,建設・資材,98.80652206021986,252
2021-08-06,4,素材・化学,99.43279661118453,264
2021-08-06,5,医薬品,92.9394653836443,68
2021-08-06,6,自動車・輸送機,102.46184145741015,97
2021-08-06,7,鉄鋼・非鉄,96.6772449968453,68
